City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Brigantine,39.4101,-74.3646,76.01,89,1,12.12,US,2021-06-07 04:07:10
1,Nara,34.6851,135.8049,85.91,41,99,6.55,JP,2021-06-07 04:04:42
2,Albany,42.6001,-73.9662,72.16,78,15,3.76,US,2021-06-07 04:06:58
3,Ushuaia,-54.8,-68.3,34.02,92,97,7.05,AR,2021-06-07 04:02:16
4,Vaini,-21.2,-175.2,71.76,100,90,5.75,TO,2021-06-07 04:07:11
5,Bathsheba,13.2167,-59.5167,81.21,65,40,19.46,BB,2021-06-07 04:07:11
6,Tomatlan,19.9333,-105.25,78.49,71,75,1.72,MX,2021-06-07 04:07:11
7,Puerto Ayora,-0.7393,-90.3518,72.55,98,24,9.19,EC,2021-06-07 04:07:12
8,Harer,9.3094,42.1258,60.3,82,7,3.96,ET,2021-06-07 04:07:12
9,Luau,-10.7073,22.2247,53.76,74,76,4.23,AO,2021-06-07 04:07:12
10,Sabha,27.0377,14.4283,77.65,21,45,10.02,LY,2021-06-07 04:07:13
11,Hobyo,5.3505,48.5268,79.11,81,4,19.82,SO,2021-06-07 04:07:13
12,Jamestown,42.097,-79.2353,70.34,78,1,9.22,US,2021-06-07 04:07:13
13,Kamenka,51.3223,42.7678,59.76,84,95,3.65,RU,2021-06-07 04:07:14
14,Tiksi,71.6872,128.8694,42.22,70,100,5.44,RU,2021-06-07 04:03:55
15,Hilo,19.7297,-155.09,77.29,77,90,4.61,US,2021-06-07 04:05:20
16,Saint-Philippe,-21.3585,55.7679,71.19,83,97,17.4,RE,2021-06-07 04:07:14
17,Mataura,-46.1927,168.8643,49.48,76,0,2.82,NZ,2021-06-07 04:07:15
18,Faanui,-16.4833,-151.75,81.28,76,31,11.07,PF,2021-06-07 04:07:15
19,Oranjestad,12.524,-70.027,82.35,82,20,5.99,AW,2021-06-07 04:07:15
20,Bluff,-46.6,168.3333,49.8,73,7,7.23,NZ,2021-06-07 04:04:02
21,Abonnema,4.7084,6.7931,72.09,95,69,0.98,NG,2021-06-07 04:07:16
22,Punta Arenas,-53.15,-70.9167,35.71,87,0,10.47,CL,2021-06-07 04:07:16
23,Pimentel,-6.8367,-79.9342,66.99,85,98,1.99,PE,2021-06-07 04:07:16
24,Bay Roberts,47.5999,-53.2648,40.05,91,63,5.99,CA,2021-06-07 04:07:17
25,Sassandra,4.95,-6.0833,76.86,90,36,5.39,CI,2021-06-07 04:07:17
26,Hermanus,-34.4187,19.2345,54.81,48,2,11.97,ZA,2021-06-07 04:07:17
27,Rikitea,-23.1203,-134.9692,76.53,85,100,15.95,PF,2021-06-07 04:02:20
28,Adrar,20.5022,-10.0711,88.11,14,0,17.45,MR,2021-06-07 04:07:18
29,Carnarvon,-24.8667,113.6333,76.26,46,100,11.86,AU,2021-06-07 04:07:18
30,Sao Filipe,14.8961,-24.4956,73.24,77,9,10.85,CV,2021-06-07 04:07:19
31,Provideniya,64.3833,-173.3,44.71,61,75,4.47,RU,2021-06-07 04:07:19
32,Qaanaaq,77.484,-69.3632,38.55,73,40,6.17,GL,2021-06-07 04:07:20
33,Dikson,73.5069,80.5464,30.06,94,100,13.02,RU,2021-06-07 04:07:20
