City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,72.16,78,15,3.76,few clouds
1,Puerto Ayora,EC,-0.7393,-90.3518,72.55,98,24,9.19,few clouds
2,Yellowknife,CA,62.456,-114.3525,46.92,71,75,1.99,broken clouds
3,Kapaa,US,22.0752,-159.319,84.18,71,40,4.0,scattered clouds
4,Busselton,AU,-33.65,115.3333,61.05,59,51,9.46,broken clouds
5,Ushuaia,AR,-54.8,-68.3,44.26,61,40,0.0,scattered clouds
6,Kaitangata,NZ,-46.2817,169.8464,54.93,78,0,8.5,clear sky
7,Castro,BR,-24.7911,-50.0119,57.02,92,100,6.26,heavy intensity rain
8,Barrow,US,71.2906,-156.7887,32.02,86,90,13.8,overcast clouds
9,Bengkulu,ID,-3.8004,102.2655,83.35,67,54,3.69,broken clouds
10,Port Alfred,ZA,-33.5906,26.891,62.11,36,0,8.59,clear sky
11,Malkara,TR,40.89,26.9011,61.83,61,98,1.95,overcast clouds
12,Tigzirt,DZ,36.8886,4.1198,64.54,89,0,2.3,clear sky
13,Solton,RU,52.8429,86.4787,66.83,61,25,2.33,scattered clouds
14,Tasiilaq,GL,65.6145,-37.6368,42.96,90,97,2.91,overcast clouds
15,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,75,18.37,light rain
16,Bluff,NZ,-46.6,168.3333,49.8,73,7,7.23,clear sky
17,Gravdal,NO,68.1214,13.5031,51.69,93,75,2.3,light rain
18,Port Elizabeth,ZA,-33.918,25.5701,52.09,46,0,2.3,clear sky
19,Avarua,CK,-21.2078,-159.775,71.65,78,94,2.3,light rain
20,Cabo San Lucas,MX,22.8909,-109.9124,87.8,62,11,11.41,few clouds
21,Hofn,IS,64.2539,-15.2082,47.01,97,100,12.21,light rain
22,Anadyr,RU,64.75,177.4833,43.3,65,40,7.92,scattered clouds
23,Mataura,NZ,-46.1927,168.8643,49.48,76,0,2.82,clear sky
24,Carnarvon,AU,-24.8667,113.6333,77.07,47,100,10.36,overcast clouds
25,Butaritari,KI,3.0707,172.7902,82.94,72,23,7.87,light rain
26,Narsaq,GL,60.9167,-46.05,55.62,79,100,2.59,overcast clouds
27,Mar Del Plata,AR,-38.0023,-57.5575,52.12,70,0,3.0,clear sky
28,Rikitea,PF,-23.1203,-134.9692,76.53,85,100,15.95,light rain
29,Mount Gambier,AU,-37.8333,140.7667,64.31,55,100,19.57,overcast clouds
30,Buta,CD,2.7858,24.73,68.18,99,100,0.76,light rain
31,Talnakh,RU,69.4865,88.3972,32.65,94,100,6.02,light snow
32,Bredasdorp,ZA,-34.5322,20.0403,61.92,39,4,8.25,clear sky
33,Belyy Yar,RU,53.6039,91.3903,64.29,63,0,5.7,clear sky
34,Dubai,AE,25.2582,55.3047,96.22,59,0,14.97,clear sky
35,Clyde River,CA,70.4692,-68.5914,35.83,87,90,16.11,overcast clouds
36,La Reforma,MX,25.0833,-108.05,84.74,66,42,3.38,scattered clouds
37,Hermanus,ZA,-34.4187,19.2345,54.81,48,2,11.97,clear sky
38,Jamestown,US,42.097,-79.2353,70.34,79,1,9.22,clear sky
39,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,10.47,clear sky
40,Maceio,BR,-9.6658,-35.7353,72.84,94,0,1.39,clear sky
41,Rapid Valley,US,44.0625,-103.1463,69.62,50,1,1.99,clear sky
42,Lebu,CL,-37.6167,-73.65,47.43,82,98,7.61,overcast clouds
43,Karratha,AU,-20.7377,116.8463,82.27,32,26,18.66,scattered clouds
44,Taos,US,36.4072,-105.5731,61.72,61,1,5.99,clear sky
45,Le Moule,GP,16.3332,-61.3473,78.84,79,94,18.54,overcast clouds
