City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Albany,US,72.16,few clouds,42.6001,-73.9662,
1,Puerto Ayora,EC,72.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Busselton,AU,61.05,broken clouds,-33.65,115.3333,Observatory Guest House
9,Bengkulu,ID,83.35,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
10,Port Alfred,ZA,62.11,clear sky,-33.5906,26.891,The Halyards Hotel
11,Malkara,TR,61.83,overcast clouds,40.89,26.9011,Ütğm Korel Lojmanı
12,Tigzirt,DZ,64.54,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
13,Solton,RU,66.83,scattered clouds,52.8429,86.4787,
15,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
19,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
20,Cabo San Lucas,MX,87.8,few clouds,22.8909,-109.9124,Tesoro Los Cabos
24,Carnarvon,AU,77.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
25,Butaritari,KI,82.94,light rain,3.0707,172.7902,Isles Sunset Lodge
28,Rikitea,PF,76.53,light rain,-23.1203,-134.9692,Pension Maro'i
29,Mount Gambier,AU,64.31,overcast clouds,-37.8333,140.7667,Commodore on the Park
30,Buta,CD,68.18,light rain,2.7858,24.73,HOTEL BISO NA BISO
32,Bredasdorp,ZA,61.92,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
33,Belyy Yar,RU,64.29,clear sky,53.6039,91.3903,Pasportnyy Stol
36,La Reforma,MX,84.74,scattered clouds,25.0833,-108.05,Hotel Reforma
38,Jamestown,US,70.34,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
40,Maceio,BR,72.84,clear sky,-9.6658,-35.7353,Poutur Pousada
41,Rapid Valley,US,69.62,clear sky,44.0625,-103.1463,Fairfield by Marriott Rapid City
43,Karratha,AU,82.27,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
44,Taos,US,61.72,clear sky,36.4072,-105.5731,El Monte Sagrado
45,Le Moule,GP,78.84,overcast clouds,16.3332,-61.3473,Lakaz Hananou
47,Taperoa,BR,68.41,broken clouds,-7.2075,-36.8267,Construir material de construção
48,New Norfolk,AU,63.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
50,Geraldton,AU,66.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
51,Caravelas,BR,71.92,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
52,Tortoli,IT,60.62,few clouds,39.9256,9.6572,Hotel La Bitta
53,Mizan Teferi,ET,61.66,broken clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
54,Airai,TL,74.46,overcast clouds,-8.9266,125.4092,Juvinal Martin
55,Hohhot,CN,82.69,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
56,Hamilton,US,72.79,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
57,Havelock,US,77.95,clear sky,34.8791,-76.9013,Sherwood Motel
58,Hilo,US,77.29,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
59,Mildura,AU,66.16,few clouds,-34.2,142.15,Mercure Hotel Mildura
61,Senneterre,CA,73.62,overcast clouds,48.3835,-77.2328,Motel Senabi
62,Adrar,MR,88.11,clear sky,20.5022,-10.0711,
63,Iraray,PH,86.07,overcast clouds,8.9936,118.0511,
64,Gorontalo,ID,87.91,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
65,Andros Town,BS,78.76,broken clouds,24.7,-77.7667,Hanks place
67,Gryazovets,RU,64.35,clear sky,58.88,40.2525,Hotel Druzhba
68,Honiara,SB,84.81,scattered clouds,-9.4333,159.95,Heritage Park Hotel
72,Vostok,RU,69.91,scattered clouds,46.4856,135.8833,
73,Nikolskoye,RU,64.8,overcast clouds,59.7035,30.7861,Tourist House - Sablino
75,Bilibino,RU,70.23,scattered clouds,68.0546,166.4372,Gostinitsa Severyanka
77,Mindelo,CV,72.95,few clouds,16.8901,-24.9804,Hotel Gaudi
78,Miri,MY,89.74,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
79,San Policarpo,PH,83.14,overcast clouds,12.1791,125.5072,JM Lodge
80,Vaini,TO,71.76,light rain,-21.2,-175.2,Keleti Beach Resort
81,Ponta Do Sol,PT,66.83,few clouds,32.6667,-17.1,Hotel do Campo
82,Codrington,AU,65.46,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
83,Namibe,AO,75.06,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
84,East London,ZA,63.54,clear sky,-33.0153,27.9116,Tu Casa
87,Kuminskiy,RU,66.69,broken clouds,58.6667,66.5667,
88,Kochi,IN,85.98,few clouds,9.9399,76.2602,Hotel Abad
90,Yulara,AU,69.64,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
